ITEM,X,Y,Z,ROTATION,ID
wall.corner.001,-3.0,2.0,0.0,0.0,719538
floor.03.003,-3.0,2.0,0.0,0.0,926971
floor.03.000,-3.0,1.0,0.0,0.0,141499
floor.03.000,-3.0,0.0,0.0,0.0,347345
floor.03.000,-2.0,0.0,0.0,0.0,224221
floor.03.000,-1.0,0.0,0.0,0.0,656209
floor.03.000,-1.0,1.0,0.0,0.0,804670
floor.03.000,-1.0,2.0,0.0,0.0,935216
floor.03.000,-2.0,2.0,0.0,0.0,612025
floor.04.000,-2.0,1.0,0.0,0.0,665589
wall.004,-3.0,1.0,0.0,0.0,415210
wall.004,-2.0,2.0,0.0,-1.571,886421
wall.005,-3.0,0.0,0.0,0.0,369631
wall.005,-1.0,2.0,0.0,-1.571,153040
window.002,-3.0,1.0,0.0,0.0,440666
window.002,-2.0,2.0,0.0,-1.571,563773
