ITEM,X,Y,Z,ROTATION
furniture.bed.000,-3.0,-2.0,0.0,0.0
furniture.bedside.000,-3.0,-3.0,0.0,0.0
furniture.bedside.000,-3.0,-1.0,0.0,0.0
floor.02.000,-3.0,-3.0,0.0,0.0
floor.02.000,-2.0,-3.0,0.0,0.0
floor.02.000,-2.0,-2.0,0.0,0.0
floor.02.000,-3.0,-2.0,0.0,0.0
floor.02.000,-2.0,-1.0,0.0,0.0
floor.02.000,-3.0,-1.0,0.0,0.0
floor.02.000,-1.0,-3.0,0.0,0.0
floor.02.000,-1.0,-2.0,0.0,0.0
floor.02.000,-1.0,-1.0,0.0,0.0
wall.001,-3.0,-3.0,0.0,0.0
wall.001,-3.0,-1.0,0.0,0.0
wall.000,-3.0,-2.0,0.0,0.0
window.001,-3.0,-3.0,0.0,0.0
window.001,-3.0,-1.0,0.0,0.0
wall.000,-3.0,-4.0,0.0,0.0
wall.000,-3.0,0.0,0.0,0.0
floor.01.000,-3.0,-4.0,0.0,0.0
floor.01.000,-2.0,-4.0,0.0,0.0
floor.01.000,-1.0,-4.0,0.0,0.0
floor.01.000,0.0,-4.0,0.0,0.0
floor.01.000,0.0,-3.0,0.0,0.0
floor.01.000,0.0,-2.0,0.0,0.0
floor.01.000,0.0,-1.0,0.0,0.0
floor.01.000,0.0,0.0,0.0,0.0
floor.01.000,-1.0,0.0,0.0,0.0
floor.01.000,-1.0,0.0,0.0,0.0
floor.01.000,-2.0,0.0,0.0,0.0
floor.01.000,-3.0,0.0,0.0,0.0
